anon_id,gender,birth_year,native_language,language_used_at_home,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,course_history,yrs_of_english_learning,yrs_in_english_environment,age
az0,Male,1979,Korean,Korean,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,367;371;374;375;378,more than 5 years,1-2 years,29
bh9,Male,1985,Vietnamese,Vietnamese,English,more than 5 years,no,I lived in a country where they spoke English,,,no,,,,no,,323;324;325;326;327;369;370;371;372;373;412;415;475;476;477;478;494,more than 5 years,less than 1 year,22
gr9,Female,1977,Thai,Thai;English,,,,,,,,,,,,,374;375;391,less than 1 year,3-5 years,30
ck3,Male,1982,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,389;390;391;392;393;440;441;442;443;444,more than 5 years,less than 1 year,26
dn4,Male,1980,Arabic,Arabic,,,,,,,,,,,,,379;380;391;392;393,less than 1 year,less than 1 year,28
ah8,Male,1979,Other,Russian;Uzbek,,,,,,,,,,,,,389;390;391;392;393,more than 5 years,more than 5 years,28
bg3,Female,1986,Korean,Korean,,,,,,,,,,,,,389;390;391;392;393,more than 5 years,1-2 years,22
fw6,Male,1984,Portuguese,Portuguese;English;Spanish,,,,,,,,,,,,,389;390;391;392;393,more than 5 years,3-5 years,23
et0,Male,1990,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,343;344;345;346;347;382;383;394;395;396;445;446;447;448;449;499;500;501,less than 1 year,none,19
bl8,Female,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,German,1-2 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,394;395;396;397;398,more than 5 years,less than 1 year,29
ha0,Male,1980,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,French,less than 1 year,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,394;395;396;397;398,more than 5 years,less than 1 year,27
bp9,Male,1982,Korean,Korean,,,,,,,,,,,,,384;385;388;396;397,more than 5 years,less than 1 year,26
ag4,Female,1985,Chinese,Chinese;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes,Japanese,less than 1 year,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Japanese,,,no,,394;395;396;397;398,more than 5 years,1-2 years,22
gd4,Female,1980,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,French,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Wrote paragrphs/essays,,,no,,379;383;395;396;397,more than 5 years,none,28
bl4,Female,1984,Chinese,Chinese;English;Taiwanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,German,less than 1 year,yes,Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in thai;Studied pronunciation,Thai,less than 1 year,yes,Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in thai,368;374;375;376;377;429;445;446;447;448,more than 5 years,3-5 years,24
cl1,Male,1982,Arabic,Arabic,English,1-2 years,no,Studied by myself;other,,,no,,,,no,,374;375;376;377;378;442;443;445;446;449;533,1-2 years,3-5 years,26
du9,Male,1973,Chinese,Chinese,English,more than 5 years,no,Studied by myself,,,no,,,,no,,375;376;377;378;389;495;496;497;499;507,more than 5 years,more than 5 years,25
cn1,Female,1985,Spanish,Spanish,English,more than 5 years,yes,Studied grammar;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud,Italian,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Practiced reading aloud,,,no,,376;377;378;379;395;442;443;444;445,more than 5 years,less than 1 year,23
ah0,Male,1972,Japanese,Japanese;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,German,1-2 years,yes,Studied grammar;Teacher corrected my mistakes,,,no,,374;375;376;377;378;440;441;444;453;454,more than 5 years,1-2 years,36
bs0,Female,1985,Korean,Korean,Chinese,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,369;375;376;377;378,more than 5 years,less than 1 year,22
bi1,Female,1981,Korean,Korean;English;Japanese,Japanese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Japanese;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation,Chinese,less than 1 year,yes,Studied grammar;Studied vocabulary,376;380,more than 5 years,none,26
gc2,Female,1986,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in English;Wrote paragrphs/essays,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary,,,no,,365;374;376;377;378;431;432;440;443;444,more than 5 years,less than 1 year,21
bk3,Male,1980,Chinese,Chinese,English,more than 5 years,yes,Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English,,,no,,,,no,,376;377,more than 5 years,less than 1 year,27
cf2,Male,1983,Thai,Thai,English,3-5 years,no,Studied by myself;other,,,no,,,,no,,376;377;394;395;398;434;440;441;442;443;506;507,3-5 years,less than 1 year,25
ct1,Female,1973,Other,Malayalam,Italian,1-2 years,no,I lived in a country where they spoke Italian;other,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation,Hindi,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes;other,376;377;389;390;393;442,more than 5 years,3-5 years,35
gs9,Female,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,German,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,374;375;376;377;378,more than 5 years,less than 1 year,24
ad2,Male,1985,Italian,Italian,Spanish,less than 1 year,no,Studied by myself;I learned from my friend who is a native speaker,,,no,,,,no,,378;379;380;381;382,more than 5 years,less than 1 year,23
gl1,Male,1970,Korean,Korean,English,3-5 years,no,Studied by myself,German,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronunciation,,,no,,379;380;381;382;383;441,3-5 years,less than 1 year,37
ee9,Female,1977,Chinese,Chinese;Taiwanese,English,more than 5 years,yes,Worked in pairs/groups;Practiced speaking in class,Japanese,1-2 years,no,Studied by myself;other,,,no,,379;380;381;382;383,more than 5 years,less than 1 year,30
bz4,Female,1965,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,381;382,more than 5 years,less than 1 year,43
aq5,Female,1961,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,less than 1 year,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,379;380;381;382;383;442;444,more than 5 years,more than 5 years,47
ci5,Male,1980,Arabic,Arabic;English,English,1-2 years,yes,Practiced speaking in class,,,no,,,,no,,379;380;381;382;383;523;526;539;540;542;590;591;592;593;594,3-5 years,1-2 years,28
ci6,Female,1980,Thai,Thai,English,less than 1 year,no,I lived in a country where they spoke English,,,no,,,,no,,364;365;366;367;368;435;436;437;438;439;518;519;522;531;535;585;589,less than 1 year,less than 1 year,28
br8,Male,1983,Arabic,Arabic;French,French,3-5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,1-2 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English,,,no,,323;325;326;327;334;366;372;373;374;375;434;440;441,less than 1 year,none,24
fc9,Female,1985,Korean,Korean,English,1-2 years,yes,Teacher spoke to me in English;Practiced reading aloud,Chinese,less than 1 year,yes,Studied pronunciation;Practiced reading aloud,,,no,,364;365;366;367;368;420;421;422;423;424,1-2 years,less than 1 year,22
eq1,Male,1984,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Listened to audio materials (tapes/CDs),,,no,,,,no,,366;369;370;372;373;435;436;437;438;439;500;502;503;504;505;538;539;542,more than 5 years,none,23
ah9,Female,1982,Korean,Korean,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,,,no,,,,no,,364;365;366;367;368;425;426;427;428;429,less than 1 year,none,26
cb2,Female,1979,Japanese,Japanese,English,more than 5 years,no,Studied by myself;other,,,no,,,,no,,333;334;337;366;378;476,more than 5 years,none,28
cm2,Male,1981,Arabic,Arabic,English,1-2 years,yes,Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,364;365;366;367;368;422;439,none,none,26
ef3,Female,1970,Arabic,Arabic,French,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,323;324;325;326;327;364;365;366;367;368;565;566;567;568;569,less than 1 year,less than 1 year,36
fe7,Female,1981,Spanish,Spanish;French;Fang,Spanish,none,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays;other,French,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays;other,Fang,none,no,I lived in a country where they spoke fang;other,365;366;368;410;421;427;451;452,1-2 years,1-2 years,27
aq2,Male,1972,Arabic,Arabic,,,,,,,,,,,,,364;366;367;368;385,1-2 years,more than 5 years,35
ch4,Female,1958,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,none,no,Studied by myself,,,no,,385;386;387;388,more than 5 years,3-5 years,22
et4,Female,1985,Chinese,Chinese;Taiwanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,384;385;386;387;388;445;446;447;448;449,more than 5 years,less than 1 year,22
du8,Male,1980,Arabic,Arabic;English,English,3-5 years,yes,Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud,,,no,,,,no,,384;385;386;387;388,3-5 years,1-2 years,27
ci0,Female,1986,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,384;385;386;387;388;440;441;444;453;454,more than 5 years,less than 1 year,21
en1,Male,1970,Spanish,Spanish,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays,French,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation,,,no,,384;385;386;387;388,3-5 years,less than 1 year,37
fa6,Male,1979,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,364;368;385;386;387,more than 5 years,more than 5 years,28
cq0,Male,1985,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,386;387;394;395;398,more than 5 years,none,23
eb9,Female,1982,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary,Japanese,1-2 years,yes,Studied grammar;Studied vocabulary,,,no,,384;385;386;387;388;440;441;444;453;454,more than 5 years,none,25
br3,Male,1977,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays;other,,,no,,,,no,,384;385;386;387;388,more than 5 years,more than 5 years,31
en3,Female,1980,Spanish,Spanish,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,325;326;333;334;337;366;367;430;431;434,more than 5 years,less than 1 year,28
gn0,Female,1978,Korean,Korean,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,no,Studied by myself,,,no,,431;440;442;443;444;501;502,more than 5 years,less than 1 year,30
dn8,Female,1978,Thai,Thai,English,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,Chinese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Teacher corrected my mistakes,,,no,,420;424;441;442;443;500;502;503;504;505;590;591;592;593;594;643,more than 5 years,1-2 years,30
fz8,Female,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud,Chinese,more than 5 years,no,Studied grammar;Studied vocabulary,Japanese,less than 1 year,no,Studied by myself,430;434;441;442;443,more than 5 years,more than 5 years,24
ag0,Female,1983,Spanish,Spanish,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,French,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,441;442;499,more than 5 years,none,25
ef1,Male,1981,Korean,Korean,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation,,,no,,,,no,,420;431;432;433;434,less than 1 year,less than 1 year,27
fd6,Female,1986,Korean,Korean,English,more than 5 years,no,I lived in a country where they spoke English,Japanese,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,429;430;431;432;433;500;501;502;503;504,more than 5 years,more than 5 years,22
ex7,Male,1987,Portuguese,Portuguese,English,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,429;430;431;432;433,1-2 years,none,21
gu7,Female,1977,Thai,Thai,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,429;430;431;432;433;495;496;499;506;507,more than 5 years,more than 5 years,31
bw6,Male,1984,Arabic,Arabic;English,English,less than 1 year,no,Studied by myself;I learned from my friend who is a native speaker;other,,,no,,,,no,,430;432;433;434;441;500;501;504;506;507;541;542,less than 1 year,1-2 years,24
dw7,Female,1976,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,432;433;434;490;524;642;647,3-5 years,none,32
ao0,Female,1980,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,430;431;432;433;434,more than 5 years,less than 1 year,27
cd3,Male,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese,,,no,,430;431;432;433;434,more than 5 years,less than 1 year,24
ac7,Male,1975,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,Cantonese,none,no,I learned from my friend who is a native speaker;I lived in a country where they spoke Cantonese,,,no,,423;430;431;432;434;500;501;502;503;504,more than 5 years,1-2 years,33
ea2,Female,1976,Other,Urdu,,,,,,,,,,,,,432;433;440;441;444,more than 5 years,more than 5 years,32
dv7,Female,1973,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,430;431;432;433;434,less than 1 year,less than 1 year,35
et6,Female,1986,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,French,1-2 years,yes,Studied grammar;Studied vocabulary,Chinese,less than 1 year,yes,Studied grammar;Studied vocabulary,440;441;444;453;454,more than 5 years,less than 1 year,22
ba1,Male,1980,Arabic,Arabic;English,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,374;375;376;377;378;440;441;444;453;454,less than 1 year,3-5 years,28
bm9,Female,1982,Chinese,Chinese;Taiwanese,Taiwanese,none,no,I lived in a country where they spoke Taiwanese,,,no,,,,no,,445;446;449;453;454,more than 5 years,less than 1 year,26
as7,Female,1987,Korean,Korean,English,more than 5 years,yes,Studied grammar;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,German,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud,,,no,,425;426;429;447;448,more than 5 years,none,21
ci7,Male,1982,Arabic,Arabic;French,French,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,424;425;426;427;428,3-5 years,none,25
cy6,Female,1979,Spanish,Spanish,,none,no,other,,,no,,,,no,,415;419;426;427;479;490;506,1-2 years,1-2 years,28
bp6,Female,1977,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Wrote paragrphs/essays,German,1-2 years,yes,Studied grammar;Studied vocabulary,,,no,,447,more than 5 years,1-2 years,31
be1,Female,1985,Thai,Thai,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,less than 1 year,yes,Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Teacher corrected my mistakes,Kmer,less than 1 year,no,I learned from my friend who is a native speaker;I lived in a country where they spoke Kmer,427;428;435;436;439;495;496;497;498;499,more than 5 years,less than 1 year,23
ax9,Female,1980,Russian,Russian;English,English,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,415;416;419;427;428;480;481;483;484;502;526;532;538;539;540;590;591;592;593;594;599;646;647;692;693;694;695;701;754;755,less than 1 year,less than 1 year,28
ai1,Female,1976,Arabic,Arabic;English,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,415;419;426;427;428;480;494;501;506;507;585;586;589,less than 1 year,less than 1 year,31
gs6,Female,1979,Spanish,Spanish,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,none,no,other,,,no,,425;427;428;436;439;495;496;497;499;507,3-5 years,1-2 years,28
ap5,Female,1990,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,415;426;427;428;452,more than 5 years,less than 1 year,18
bf9,Female,1989,Chinese,Chinese,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,Korean,less than 1 year,no,Studied by myself,,,no,,424;425;426;427;428;485;486;488;489;506;581,3-5 years,less than 1 year,19
cx1,Male,1977,Japanese,Japanese,English,more than 5 years,no,other,,,no,,,,no,,427;428;502,more than 5 years,none,31
db3,Male,1969,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,427;428;445;446;449,3-5 years,none,39
di2,Male,1982,Arabic,Arabic;English,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,414;422;423;430;431;479;500;501;506;507,1-2 years,1-2 years,26
dl8,Male,1989,Chinese,Chinese,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,410;414;421;422;423;490;492;493;494;505,3-5 years,3-5 years,19
bl5,Male,1980,Arabic,Arabic;English,,,,,,,,,,,,,422;430;433;434;441,more than 5 years,more than 5 years,27
ag8,Female,1975,Japanese,Japanese,,,,,,,,,,,,,422;423;424,3-5 years,less than 1 year,33
gt0,Male,1983,Chinese,Chinese;Taiwanese,English,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,,,no,,,,no,,421;422;423;440;444;497;498;505,more than 5 years,less than 1 year,25
bn5,Male,1968,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,410;414;421;422;423;475;479;496;497;498,more than 5 years,more than 5 years,40
fw1,Female,1943,Japanese,Japanese;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,3-5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,223;256;292;317;333;344;379;432;433;500;501;504;535;536;640,more than 5 years,1-2 years,64
au9,Female,1978,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,German,1-2 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;other,,,no,,416;419,more than 5 years,less than 1 year,30
